"model","train_rmse","test_rmse","mae","r_squared","components"
"UMAP + Lasso",0.558784752107355,0.566540008531117,0.441971862590029,-0.0158763365894063,10
"UMAP + Ridge",0.5585640274139,0.567039434960572,0.442581027157477,-0.0176681928058344,10
"UMAP + Lasso",0.551898178611242,0.567980080356408,0.441185230835155,-0.0210473542206366,20
"UMAP + Ridge",0.553963006294049,0.564893925266536,0.440153237559802,-0.00998165061409528,20
"UMAP + Lasso",0.552759952730139,0.566040915234525,0.438695953176234,-0.0140872529100946,50
"UMAP + Ridge",0.561767107083334,0.56445413665759,0.43733020329267,-0.00840965452234976,50
"UMAP + Lasso",0.560062382239408,0.569270390456013,0.441350955034783,-0.0256917572169724,100
"UMAP + Ridge",0.561011100981099,0.565397146378694,0.437599660407917,-0.0117818840553714,100
"Baseline Lasso",0.491046943218945,0.497239443085667,0.38700381248717,0.21745230351896,NA
"Baseline Ridge",0.48948879108582,0.507683726092269,0.394161682295376,0.184232950853893,NA
